,stress,vision-shape,episodic memory,object recognition,motor,attention,gaze,learning,social,math,language,reward,errors,switching,audition,emotion,speech,reading,conflict,decision-making,semantic,inhibition,LTM,action,reasoning,fear,gustation,WM,motion,pain,sensory,spatial processing
aMCC_i1_R,0.03222128834602643,0.013159217684017566,-0.3124924115098322,-0.31400699933209,1.2285045548144884,0.040438225840370594,0.11257824238470995,0.32341163174246995,-0.3641940867977047,-0.30907116317560135,-0.9884591501953894,-0.09300220421373753,-0.26836770473161886,0.36854564829437886,-0.07240686039818459,-0.4284233487036744,0.41726270408749183,-0.1786904128791882,0.25971373323857433,-0.319331206046483,-0.27109203428747763,0.34821427261212695,-0.5147823735689059,0.2637873593519351,-0.11020487449045296,0.26048703456055733,-0.8434811834929901,0.029165856358318448,-0.5268617081176957,0.7943314610716365,-0.06424104998613935,-0.1332437822258597
pgACC_i3_R,-0.1435254836619475,-0.3715150813094855,0.6352250248629072,-0.26205557572661287,-0.46250331738618955,-0.06952496180000371,-0.15117743664759317,-0.09283984084535475,-0.01318323718237701,-0.22884132671749763,0.010243906136528431,0.444662588044098,0.13291236596299966,0.4631951892159132,-0.4197918181021903,0.05528344785521272,-0.11556840802490811,-0.43317434467991567,-0.23459668090457125,0.6132548450453725,0.1161797168714602,0.5124482679224295,0.5681011979041166,-0.06391281827103426,0.14112431008892531,0.07776479524347596,-0.29010720131883055,-0.0919576710266484,-0.6104125065606107,0.2476109666561266,-0.7609376462813885,-0.38547269259805883
pgACC_i2_R,-0.014750931247160122,-0.3044946814331341,0.8324057291096048,-0.7781375082289321,-0.7670952898276816,-0.35075724786398865,-0.7536394845996586,-0.45320338315435094,0.19489429356984275,-0.5581789336371581,-1.0785612910746536,0.8797824728439343,0.3116673809862668,-0.271237988499754,-0.7011585069869484,0.6065625272154667,-0.27412811157184125,-0.7239924784602315,0.01572681853912871,1.0104184672813492,-0.3213067263295993,-0.014006244960504108,-0.09871060026591437,-0.3572854703622434,-1.0257170630482155,1.0511743429869134,0.6576085048546395,-0.0954127582040792,-0.751942170067729,0.11871535245247089,-1.2903280960542998,-0.45790579460571734
pgACC_i1_R,-0.1164709311583727,-0.4198385644927154,0.8675448358839624,0.06965790968610683,-0.7336503955430974,-0.16068936155188782,-0.5407355198023893,-0.4672523351669029,0.7235606291611645,0.13037437741417535,-0.32137749033638097,-0.08168164939913058,0.2068066048996618,-0.28952564663947955,-0.5158910954667053,0.1331456089333231,-0.6381945192651937,-0.4370464161038363,-0.21545953229725623,-0.049145244264344155,-0.00847521373471402,0.03382690500163729,0.0588061150572754,-0.5890406769236273,-0.1531907501172236,0.2289949388964248,-0.7551383667530216,0.080387485196208,-0.48272540406227304,-0.2804571086867766,-0.4168903329089918,-0.6205029991781931
sgACC_R,0.03537100891799528,-0.5531287671901707,0.8352455222503247,-0.29743932375867,-0.5233808809577075,-0.2704457175464111,-0.3953264078052936,0.0993682715296126,-0.031724509543463175,-0.11084471078876468,-0.01189945702391632,0.5905326485431783,0.08572163921110465,0.38345403946793116,-0.47915870431067104,0.016865165173208307,-0.30871718294999717,-0.3565696986383974,-0.08662994174261539,0.65254165512016,0.41235046192066716,0.37638692278681063,0.5782258856164516,0.06355356982701418,0.16514579890616787,0.13184836353487245,0.19333511427334973,-0.14340136176766158,-0.5945694021322552,0.4319465810092044,-0.495906136533639,-0.5019321149793716
pMCC_i2_L,0.09761371930438126,-0.42798265440692224,0.3898944329008958,-0.5019545927215884,0.16941940765904234,-0.2005127097369888,-0.392324266753611,-0.2750522782579636,0.11915230600792923,-0.36244118344760623,-0.6346875278383509,0.3282049540301766,0.1220984077136468,0.009918217541581105,-0.7486203273722604,0.15559550677537343,-0.240563983262439,-0.4531594314037094,-0.22675809443648914,-0.03135514975647709,-0.36682056112449024,0.47389839861663513,0.15859866039084558,-0.4511816520877839,0.17528375481302297,0.3407258686204089,0.5217162879244992,-0.06044843444075121,-1.2556273393227513,0.789400759031629,-0.47936908536635897,0.1258691462371988
pMCC_i1_L,0.4092818290371907,-0.6551151129301206,0.8586700517012401,0.08616059948812067,-0.5255770390252814,-0.08141236876646282,-0.887940839409068,0.0011086662428198561,0.22321562881474424,-0.37084621876759866,-0.2241396676036131,0.010977527054901272,0.10879432153500403,0.2349091879567225,-0.31666473916530413,-0.12788005717514356,-0.35258137594252065,-0.03839947548029836,-0.009545914630336008,0.5027580710056105,0.4275166379740661,0.12489185464793988,0.5228335467193551,-0.15173027363976865,0.04766284128231223,-0.19338334724286332,-0.24400151751464655,0.04872106272711944,0.12019512428048366,0.6952061456470822,-0.32365892198998203,-0.0013900902315850565
aMCC_i3_L,0.04723302705130688,-0.5519818764016877,0.6480695669389839,-0.06358482694660123,0.43358817429286495,-0.36400470425915094,-0.4192878787283298,0.146249211457814,0.03755561159366098,-0.9643272550559681,-0.24874228110696317,0.6437172127098522,0.31821525048898025,-0.013097736964641775,-0.5072935587000231,-0.13874191519801995,-0.20641216458972844,-0.49353363734191197,-0.16405724069459096,0.5326555597626493,0.09671701406883919,0.12885195296669427,0.42724405550952593,-0.021613316608876366,0.0666369900190548,0.013699948127756248,-1.0692281815692684,-0.04432992941612989,-0.4003515031239976,0.4535206220539292,-0.3888115273011131,-0.22108985974202072
aMCC_i2_L,-0.2915434955166157,-0.06837652890985582,0.8770459294359035,-0.1394641077208986,-0.343047497686061,0.13545076771194428,0.2501578788993898,-0.2345651985813235,-0.2611453570354415,-0.5510409148520534,0.17104024261483478,-0.18635836149089152,0.22326572394853908,0.19022949794554847,-0.13497797138877007,0.04450186252388365,-0.05492460250011703,-0.17532747572590898,-0.2871453927280543,-0.06238202410770231,0.16892994369503697,-0.004896439225384693,0.4510115419952725,-0.25571662595860445,-0.4283559165411377,0.3452319655016343,0.39485567019583684,0.10644318497841061,0.11221178726974465,-0.2911827956392112,-0.12165066688029767,0.36941986342065786
aMCC_i1_L,0.2994761571377381,-0.8276246762605627,-0.5002034443414597,-0.23448000501876998,0.7002006942688727,-0.336315469587101,-0.45345106952028286,0.19791069065139222,-0.2600482438297146,-0.45485343788683813,-0.23784673656944488,0.43109893371805386,0.13049924772347213,0.1596342197663808,-0.25193556014543356,0.08446204294875188,-0.18709204580936,-0.46802744211052544,0.13646557497476794,0.3144273566016309,-0.08208868455538748,-0.051975734635591075,0.09262522079744046,0.044117524188102185,-0.22912423132575976,0.7266458580939315,-0.469732642916151,-0.29295864917720077,-0.9284057683371458,1.0138837393066509,0.053605144536553476,-0.6876934049758788
